Date,rank,song_id,title,artist,genre,genre_coding,date_coding
201505,2,5650063,손잡고 걷자 (With 조혜수 Of 비디오빌리지),팔로 (Farlaw),Rap / Hip-hop,5,5
201505,3,5700639,마음,아이유,Folk,1,5
201505,4,2232285,귤,요조,Rock,3,5
201505,5,5690596,너여야만 해,김성규,Rock,3,5
201505,6,5702706,꺼내 먹어요,Zion.T,R&B / Soul,2,5
201505,7,4191054,왜 이제야 왔니,정엽,Drama,4,5
201505,8,5671555,사랑한대,적재,Rock,3,5
201505,9,5650996,우연히 봄,로꼬,Drama,4,5
201505,10,5655758,"만나요, 우리",더필름,Folk,1,5
201505,11,2678081,선인장 (Vocal 심규선),에피톤 프로젝트,Ballad,0,5
201505,12,4454210,일상,와인루프 (Wine Loop),R&B / Soul,2,5
201505,13,4238577,함께 걷던 길 (Duet With. April),더필름,Ballad,0,5
201505,14,1182326,Wake Me Up When September Ends,Green Day,Rock,3,5
201505,15,5658708,어머님이 누구니 (Feat. 제시),박진영,Dance,7,5
201505,16,2347066,라떼처럼,윤건,Ballad,0,5
201505,17,932131,Bad Day,Daniel Powter,Rock,3,5
201505,18,5657052,"조만간 봐요 (Feat. BSK, 개코)",프라이머리,R&B / Soul,2,5
201505,19,4534771,내게기대 (Feat. 박세영),스탠딩 에그,Rock,3,5
201505,20,18357,좋은 사람 (Feat. 김형중),토이,Ballad,0,5
201505,21,5682700,LOSER,BIGBANG,Rap / Hip-hop,5,5
201505,22,5674119,Me You (Feat. 백예린 Of 15&),San E,Rap / Hip-hop,5,5
201505,23,3893169,홀로 (Feat. 김나영),정키,Ballad,0,5
201505,24,5684914,Who Are You (Feat. 개코),보아 (BoA),Dance,7,5
201505,25,5576417,같은 시간 속의 너,나얼,R&B / Soul,2,5
201505,26,5440651,내일,한희정,Drama,4,5
201505,27,429660,세살차이,김형중,Ballad,0,5
201505,28,5713758,둘 하나 둘,어반자카파,R&B / Soul,2,5
